Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
Fenton Wind Power Project,Fenton Wind Power Project,137,43.909806,-95.965884,GE Energy
Fire Island Wind Project,Fire Island Wind Project,11,61.144146,-150.217652,GE Energy
First State Marine Wind,First State Marine Wind,1,38.836,-75.154,Gamesa
Flat Ridge Wind Farm,Flat Ridge Wind Farm,40,37.3694801,-98.4603352,Clipper
Flat Water Wind Farm,Flat Water Wind Farm,40,40.001077,-95.955119,GE Energy
Flying Cloud Wind Farm,Flying Cloud,29,43.416975,-95.422282,GE Energy
Foote Creek Rim I Wind Farm,Foote Creek Rim I,69,41.652605,-106.189914,Mitsubishi
Foote Creek Rim II Wind Farm,Foote Creek Rim II,3,41.663881,-106.186001,Mitsubishi
Foote Creek Rim III Wind Farm,Foote Creek Rim III,33,41.643488,-106.198876,NEG Micon
Foote Creek Rim IV Wind Farm,Foote Creek Rim IV,28,41.626456,-106.202095,Mitsubishi
Forbes Park Wind Farm,Forbes Park,1,42.3917638,-71.0328284,
Forest City High School Wind Farm,Forest City High School,1,43.266011,-93.653378,Nordex
Forest Creek Wind Farm,Forest Creek Wind Farm,54,31.937348,-101.312513,Siemens
Fort Totten Wind Farm,Fort Totten,1,47.9817,-99.0029,NEG Micon
Forward Expansion Wind Farm,Forward Expansion,20,43.631519,-88.556421,GE Energy
Forward Phase I Wind Farm,Forward Phase I,66,43.606819,-88.534834,GE Energy
Forward Wind Farm,Forward,14,40.11541,-78.805529,Suzlon Energy Company
Fossil Gulch Wind Park,Fossil Gulch Wind Park,7,42.814261,-114.996665,GE Energy
Fowler Ridge II Wind Farm,Fowler Ridge II,133,40.613872,-87.318692,GE Energy
Fowler Ridge Wind Farm Phase I (Clipper),Fowler Ridge Wind Farm Phase I (Clipper),40,40.613872,-87.318692,Clipper
Fowler Ridge Wind Farm Phase I (Vestas),Fowler Ridge Wind Farm Phase I (Vestas),182,40.613872,-87.318692,Vestas
Fox Islands Wind Project,Fox Islands Wind Project,1,44.088391,-68.857802,GE Energy
G. McNeilus Wind Farm,G. McNeilus Wind Farm,9,43.554778,-92.728908,
G.M. Allen & Sons Wind Farm,G.M. Allen & Sons,1,44.5704,-68.7379,Atlantic Orient Co.
G3 Wind Farm,G3 Wind Farm,3,43.5141,-116.088,
GSG Wind Farm,GSG Wind Farm,40,41.710895,-89.050004,Gamesa
Galveston Offshore Wind Farm,Galveston Offshore Wind Farm,50,29.161,-94.797,XEMC
Galveston Offshore Wind Phase 2,Galveston Offshore Wind Phase 2,75,29.16,-94.747,XEMC
Galveston Test,Galveston Test,1,29.161,-94.773,Mingyang
Garden State Offshore Wind Farm,Garden State Offshore Wind Farm,96,39.08,-74.310556,Undetermined
Garnet Wind,Garnet Wind,13,33.918267,-116.701076,
Gary Wind Energy Project,Gary Wind Energy Project,1,44.7906,-96.4546,Vestas
Glacier Hills,Glacier Hills,90,43.572059,-89.111309,Vestas
Glacier I Wind Farm,Glacier I,71,48.555639,-112.120992,Acciona
Glacier II,Glacier II,69,48.555639,-112.120992,Acciona
Glacier Wind II Wind Farm,Glacier Wind II,69,46.8796822,-110.3625658,Acciona WP
Glenrock III Wind Farm,Glenrock III,26,43.0347917,-105.8439737,GE Energy
Glenrock Wind Farm,Glenrock,66,43.004101,-105.81286,GE Energy
Goat Mountain Phase I Wind Farm,Goat Mountain Phase I,80,31.908696,-100.824122,Mitsubishi
Goat Mountain Phase II Wind Farm,Goat Mountain Phase II,29,31.910008,-100.869355,Mitsubishi
Gob Nob,Gob Nob,1,39.4384551,-89.62847114,Emergya Wind Technologies
Golden Hills Wind Farm,Golden Hills Wind Farm,267,45.547633,-120.761232,Undetermined
Golden Valley Wind Park,Golden Valley Wind Park,8,42.379924,-113.876892,GE Energy
Goodland I Wind Farm,Goodland I,87,40.686441,-87.434993,GE Energy
Goodnoe Hills Wind Farm,Goodnoe Hills,47,45.784293,-120.552475,REpower
Gordon Butte,Gordon Butte,6,46.42836,-110.358231,GE Energy
Goshen North Wind Project,Goshen North Wind Project,83,43.511043,-111.886067,GE Energy
Grafton Technical College Wind Farm,Grafton Technical College,1,48.406139,-97.426202,
Grand Meadow Wind Farm,Grand Meadow,67,43.707798,-92.654071,GE Energy
